#update, fitness:max, fitness:mean
963, 8, 7.193
964, 8, 7.141
965, 8, 7.064
966, 8, 7.069
967, 8, 7.071
968, 8, 7.071
969, 8, 7.038
970, 8, 7.086
971, 8, 7.134
972, 8, 7.188
973, 8, 7.222
974, 8, 7.261
975, 8, 7.313
976, 8, 7.263
977, 8, 7.269
978, 8, 7.336
979, 8, 7.319
980, 8, 7.275
981, 8, 7.232
982, 8, 7.239
983, 8, 7.297
984, 8, 7.238
985, 8, 7.232
986, 8, 7.35
987, 8, 7.346
988, 8, 7.284
989, 8, 7.191
990, 8, 7.145
991, 8, 7.085
992, 8, 7.061
993, 8, 7.054
994, 8, 7.046
995, 8, 7
996, 8, 7.021
997, 8, 7.034
998, 8, 7.093
999, 8, 7.084
1000, 8, 7.061
